account_id,company_name,country,subregion,industry,employee_band,estimated_arr,segment,account_status,coverage_status,engagement_status,last_activity_date,employee_band_num,segment_num,cluster,tier,priority_flag
2,Harrison-Owens,SG,SEA,Retail,51-200,56400.0,Mid-Market,Prospect,Assigned,Stale,2023-01-25,2,2,1,Tier 2,Standard
3,Martin Group,ID,SEA,SaaS,201-500,190300.0,Mid-Market,Active,Assigned,Stale,2024-11-15,3,2,1,Tier 2,Standard
4,Francis LLC,ID,SEA,Fintech,51-200,118100.0,Mid-Market,Active,Assigned,Stale,2024-06-12,2,2,1,Tier 2,Standard
5,Stephens-Moore,TH,SEA,Retail,51-200,43100.0,SMB,Prospect,Assigned,Stale,2024-01-23,2,1,2,Tier 3,Standard
6,Clark Inc,SG,SEA,Logistics,501-2000,912400.0,Enterprise,Prospect,Assigned,Stale,2024-08-11,4,3,0,Tier 1,Priority
10,"Blair, Scott and Pena",TH,SEA,SaaS,51-200,49500.0,SMB,Prospect,Assigned,Stale,2023-11-19,2,1,2,Tier 3,Standard
12,Martin Ltd,VN,SEA,Manufacturing,1-50,34500.0,SMB,Inactive,Assigned,Stale,2024-11-01,1,1,2,Tier 3,Standard
18,"Gutierrez, Guzman and Martinez",PH,SEA,Retail,201-500,1138400.0,Enterprise,Prospect,Assigned,Stale,2024-08-11,3,3,0,Tier 1,Priority
19,Taylor-Hall,PH,SEA,SaaS,1-50,21800.0,SMB,Churned,Assigned,Stale,2024-06-30,1,1,2,Tier 3,Standard
20,"Smith, Allen and Payne",PH,SEA,Manufacturing,201-500,5900.0,SMB,Prospect,Assigned,Stale,2024-10-21,3,1,2,Tier 3,Standard
22,Miller Inc,PH,SEA,Professional Services,501-2000,474700.0,Enterprise,Active,Assigned,Stale,2023-04-01,4,3,0,Tier 1,Standard
23,"Leach, Decker and Foley",TH,SEA,Education,2001+,1875600.0,Enterprise,Prospect,Assigned,Stale,2024-07-13,5,3,0,Tier 1,Priority
26,"Howard, Cooper and Hunter",SG,SEA,Healthcare,201-500,1754400.0,Enterprise,Prospect,Assigned,Stale,2024-12-01,3,3,0,Tier 1,Priority
27,Lopez Ltd,PH,SEA,Education,51-200,47100.0,SMB,Prospect,Assigned,Stale,2023-08-29,2,1,2,Tier 3,Standard
28,Freeman-Rios,ID,SEA,SaaS,1-50,34700.0,SMB,Prospect,Assigned,Stale,2023-04-28,1,1,2,Tier 3,Standard
