account_id,company_name,country,subregion,industry,employee_band,estimated_arr,segment,is_customer,account_status
1,"Christensen, Johnson and Miller",VN,SEA,Retail,1-50,38400.0,SMB,1,Active
2,Cunningham LLC,SG,SEA,Retail,51-200,56400.0,Mid-Market,0,Prospect
3,"Johnson, Lee and Martinez",ID,SEA,SaaS,201-500,190300.0,Mid-Market,0,Active
4,Hernandez Ltd,ID,SEA,Fintech,51-200,118100.0,Mid-Market,0,Active
5,Campbell-Dixon,TH,SEA,Retail,51-200,43100.0,SMB,0,Prospect
6,Garcia and Sons,SG,SEA,Logistics,501-2000,912400.0,Enterprise,0,Prospect
7,"Williamson, Bush and Walker",PH,SEA,Healthcare,51-200,8100.0,SMB,0,Churned
8,Jackson Group,SG,SEA,Manufacturing,51-200,25400.0,SMB,1,Inactive
9,"Cruz, Brown and Marshall",VN,SEA,E-commerce,501-2000,1384100.0,Enterprise,1,Active
10,Moses LLC,TH,SEA,SaaS,51-200,49500.0,SMB,0,Prospect
11,Flores-Obrien,ID,SEA,Professional Services,501-2000,1658800.0,Enterprise,1,Churned
12,"Braun, Villarreal and Day",VN,SEA,Manufacturing,1-50,34500.0,SMB,0,Inactive
13,"Frost, Thomas and Myers",ID,SEA,Education,1-50,30300.0,SMB,0,Prospect
14,Forbes-Ball,MY,SEA,Fintech,51-200,49900.0,SMB,1,Active
15,Morales Group,ID,SEA,Media,201-500,208400.0,Mid-Market,1,Inactive
16,Ellis and Sons,PH,SEA,Retail,201-500,29900.0,SMB,0,Active
17,Wilson LLC,MY,SEA,Manufacturing,501-2000,845300.0,Enterprise,1,Active
18,"Harrison, Smith and Warren",PH,SEA,Retail,201-500,1138400.0,Enterprise,0,Prospect
19,Moon-Rodriguez,PH,SEA,SaaS,1-50,21800.0,SMB,0,Churned
20,Green Ltd,PH,SEA,Manufacturing,201-500,5900.0,SMB,0,Prospect
21,"Smith, Johnson and Wagner",ID,SEA,Fintech,201-500,44500.0,SMB,1,Inactive
22,Lewis Ltd,PH,SEA,Professional Services,501-2000,474700.0,Enterprise,0,Active
23,"Tapia, White and Sanders",TH,SEA,Education,2001+,1875600.0,Enterprise,0,Prospect
24,"Mathews, Collins and Rice",VN,SEA,Logistics,201-500,137600.0,Mid-Market,1,Active
25,Nelson-Stevens,SG,SEA,Healthcare,51-200,96000.0,Mid-Market,1,Active
26,Ruiz Group,SG,SEA,Healthcare,201-500,1754400.0,Enterprise,0,Prospect
27,Sanchez Group,PH,SEA,Education,51-200,47100.0,SMB,0,Prospect
28,Hernandez Ltd,ID,SEA,SaaS,1-50,34700.0,SMB,0,Prospect
29,Butler Inc,VN,SEA,Fintech,51-200,179200.0,Mid-Market,0,Prospect
30,"Wright, Rogers and Lopez",ID,SEA,Fintech,1-50,29100.0,SMB,1,Inactive
31,"Jones, Griffin and Schultz",TH,SEA,SaaS,201-500,1747900.0,Enterprise,0,Prospect
32,"Brown, Berry and Miller",SG,SEA,Education,201-500,1735200.0,Enterprise,0,Active
33,Colon PLC,SG,SEA,Manufacturing,1-50,5100.0,SMB,0,Prospect
34,Butler-Olsen,TH,SEA,Healthcare,201-500,196100.0,Mid-Market,0,Inactive
35,Barton Group,MY,SEA,SaaS,51-200,7600.0,SMB,1,Active
36,Murray-Mckee,PH,SEA,E-commerce,201-500,233900.0,Mid-Market,1,Active
37,"Oconnor, Ortega and Morrison",SG,SEA,Healthcare,51-200,185000.0,Mid-Market,1,Active
38,Steele and Sons,PH,SEA,Manufacturing,201-500,173900.0,Mid-Market,0,Prospect
39,Thompson-Erickson,ID,SEA,Media,51-200,112800.0,Mid-Market,1,Active
40,Miller-Arnold,MY,SEA,Fintech,201-500,1887500.0,Enterprise,0,Prospect
41,"Clark, Harris and Roberts",SG,SEA,Healthcare,51-200,151200.0,Mid-Market,0,Active
42,Fitzpatrick PLC,MY,SEA,Retail,51-200,24700.0,SMB,0,Churned
43,Hull-Powell,SG,SEA,Manufacturing,501-2000,160900.0,Mid-Market,1,Active
44,Warren-Jones,SG,SEA,Logistics,201-500,1549200.0,Enterprise,0,Active
45,"Walker, Tanner and Whitehead",ID,SEA,SaaS,201-500,220600.0,Mid-Market,0,Churned
46,Perez PLC,SG,SEA,Manufacturing,51-200,215900.0,Mid-Market,0,Active
47,Brown Inc,ID,SEA,E-commerce,201-500,160300.0,Mid-Market,1,Active
48,Wilkerson-Mitchell,PH,SEA,Logistics,51-200,21600.0,SMB,0,Active
49,"Olsen, Wright and Bryan",SG,SEA,Education,501-2000,617600.0,Enterprise,1,Active
50,Wilson-Delacruz,PH,SEA,E-commerce,51-200,235200.0,Mid-Market,1,Active
51,"Martinez, Hoover and Thomas",TH,SEA,Healthcare,1-50,38100.0,SMB,0,Prospect
52,Wagner PLC,MY,SEA,Healthcare,1-50,36600.0,SMB,1,Inactive
53,"Levine, Ramirez and Stephens",TH,SEA,Education,201-500,41900.0,SMB,0,Prospect
54,"Myers, Hicks and Erickson",MY,SEA,Retail,51-200,8100.0,SMB,0,Prospect
55,Green-Brown,MY,SEA,Manufacturing,2001+,451800.0,Enterprise,1,Churned
56,Williamson and Sons,SG,SEA,Retail,51-200,24600.0,SMB,0,Prospect
57,Flores-Torres,SG,SEA,Retail,1-50,30900.0,SMB,0,Active
58,Dominguez PLC,VN,SEA,Logistics,201-500,198400.0,Mid-Market,0,Active
59,Nguyen-Garcia,PH,SEA,Education,51-200,43200.0,SMB,0,Active
60,Watson Inc,MY,SEA,E-commerce,51-200,109100.0,Mid-Market,0,Churned
61,Hinton-Tucker,PH,SEA,Professional Services,501-2000,131200.0,Mid-Market,0,Active
